;total_visits_u_wfd;total_visits_g_wfd;total_visits_r_wfd;total_visits_i_wfd;total_visits_z_wfd;total_visits_y_wfd;survey_area
colossus_2664;146498;204963;470639;467584;435107;433535;19486.631641778597
colossus_2665;143044;200251;460030;456838;422178;424414;18831.817704018424
colossus_2667;144277;200455;459661;458653;437743;443953;18090.221196193652
kraken_2026;143037;201037;460469;457896;421088;423622;18090.221196193652
kraken_2035;137019;193023;441808;439880;410240;410705;18090.221196193652
kraken_2036;115693;161441;374403;371721;368693;362342;18090.221196193652
mothra_2045;87528;125960;298949;288016;359150;343244;18090.221196193652
pontus_2002;157129;219317;501934;500234;471302;471323;26689.584957140483
pontus_2489;200160;281439;646134;642012;608687;604335;18090.221196193652
pontus_2502;110605;155855;370357;374905;322949;482755;18090.221196193652
kraken_2042;153300;214963;493167;490853;449044;450151;17814.094836897195
kraken_2044;156614;220829;501852;501702;486664;474891;26224.11480861217
mothra_2049;153526;214852;496878;494280;531066;475471;26224.11480861217
nexus_2097;152898;213848;494158;494671;514499;488599;26224.11480861217
minion_1016_desc_dithered_v4;142569;200876;456557;459390;411822;412544;18090.221196193652
baseline2018a;138900;194786;445601;444867;412599;412573;18090.221196193652
astro-lsst-01_2039;152661;214340;488802;488855;444499;443841;17814.094836897195
alt_sched;170952;221660;568983;376786;529925;177866;8077208.815517228
alt_sched_rolling;157285;203873;567223;376115;556158;186830;8081958.188897127
colossus_2683;114061;171904;357337;356125;330791;349660;9405108.366698446