cadence;total_wfd_u;total_wfd_g;total_wfd_r;total_wfd_i;total_wfd_z;total_wfd_y;median_wfd_u;median_wfd_g;median_wfd_r;median_wfd_i;median_wfd_z;median_visits_y;median_open_shutter_fraction_per_night;foarea;median_single_visit_depth_u_wfd;median_single_visit_depth_g_wfd;median_single_visit_depth_r_wfd;median_single_visit_depth_i_wfd;median_single_visit_depth_z_wfd;median_single_visit_depth_y_wfd;total_filter_changes;median_filter_changes_per_night
baseline2018a;21495;21495;21495;21495;21495;21495;62.0;87.0;200.0;199.0;183.0;182.0;0.72;18056.56;23.32;24.63;24.27;23.7;22.79;22.00;10644.0;2.0
colossus2664;23101;23101;23101;23101;23101;23101;60.0;84.0;195.0;193.0;178.0;176.0;0.74;19404.47;23.33;24.65;24.27;23.7;22.81;22.00;10512.0;2.0
colossus2665;22371;22371;22371;22371;22371;22371;61.0;86.0;198.0;197.0;180.0;181.0;0.73;17819.88;23.31;24.61;24.22;23.66;22.76;21.96;11640.0;2.0
colossus2667;21495;21495;21495;21495;21495;21495;64.0;89.0;204.0;203.0;192.0;195.0;0.75;18056.56;23.31;24.63;24.24;23.7;22.8;21.94;11204.0;2.0
kraken2026;21495;21495;21495;21495;21495;21495;64.0;90.0;206.0;204.0;186.0;188.0;0.74;18056.56;23.34;24.65;24.26;23.69;22.78;22.0;10813.0;2.0
kraken2035;21495;21495;21495;21495;21495;21495;61.0;86.0;196.0;196.0;183.0;182.0;0.73;17983.54;23.32;24.65;24.27;23.70;22.77;22.02;14000.0;3.0
kraken2036;21495;21495;21495;21495;21495;21495;51.0;71.0;166.0;164.0;160.0;160.0;0.68;4716.83;23.29;24.64;24.24;23.67;22.74;21.97;18232.00;4.00
kraken2042;21495;21495;21495;21495;21495;21495;68.0;96.0;219.0;219.0;198.0;199.0;0.79;18056.56;23.3;24.64;24.27;23.69;22.77;22.00;11402.0;2.0
kraken2044;31568;31568;31568;31568;31568;31568;46.0;67.0;152.0;151.0;147.0;142.0;0.74;6061.38;23.29;24.6;24.24;23.69;22.8;21.98;10364.0;2.0
mothra2045;21495;21495;21495;21495;21495;21495;47.0;67.0;157.0;148.0;157.0;156.0;0.62;4945.96;23.26;24.62;24.24;23.66;22.70;21.91;26436.0;7.0
mothra2049;31568;31568;31568;31568;31568;31568;46.0;65.0;153.0;149.0;161.0;143.0;0.75;6061.38;23.23;24.59;24.22;23.65;22.73;21.96;9583.0;2.0
nexus2097;31568;31568;31568;31568;31568;31568;46.0;64.0;149.0;149.0;155.0;147.0;0.74;6061.38;23.24;24.60;24.23;23.67;22.75;21.96;10803.0;2.0
pontus2002;31568;31568;31568;31568;31568;31568;47.0;66.0;151.0;150.0;142.0;142.0;0.74;6061.38;23.28;24.61;24.24;23.68;22.79;22.01;10464.00;2.0
pontus2489;21495;21495;21495;21495;21495;21495;89.0;126.0;289.0;286.0;270.0;267.0;0.73;18059.08;23.59;24.35;24.00;23.46;22.54;21.74;11708.0;2.0
pontus2502;21495;21495;21495;21495;21495;21495;49.0;68.0;164.0;168.0;144.0;211.0;0.73;7687.09;23.24;24.60;24.24;23.62;23.13;21.84;8907.00;2.0
minion1016sqlite;21495;21495;21495;21495;21495;21495;62.0;88.0;199.0;201.0;180.0;180.0;0.73;18057.40;23.14;24.47;24.16;23.40;22.23;21.57;14194.0;3.0
minion1016recalc;21495;21495;21495;21495;21495;21495;62.0;88.0;199.0;201.0;180.0;180.0;0.73;18057.40;23.14;24.47;24.16;23.40;22.23;21.57;14194.0;3.0
minion1016descdithersv4;21495;21495;21495;21495;21495;21495;62.0;88.0;199.0;201.0;180.0;180.0;0.73;18057.40;23.14;24.47;24.16;23.40;22.23;21.57;14194.0;3.0